#camModel   pixelH(µm)  pixelV(µm)
acA640-90gm 7.4 7.4
acA640-90gc 7.4 7.4
acA640-120gm    5.6 5.6
acA640-120gc    5.6 5.6
acA645-100gm    9.9 9.9 
acA645-100gc    9.9 9.9
acA750-30gm 6.5 6.5
acA750-30gc 6.5 6.5
acA780-75gm 8.3 8.3
acA780-75gc 8.3 8.3
acA1300-22gm    3.75    3.75
acA1300-22gc    3.75    3.75
acA1300-30gm    3.75    3.75
acA1300-30gc    3.75    3.75
acA1600-20gm    4.4 4.4
acA1600-20gc    4.4 4.4
acA640-300gm    4.8 4.8
acA640-300gc    4.8 4.8
acA800-200gm    4.8 4.8
acA800-200gc    4.8 4.8
acA1280-60gm    5.3 5.3
acA1280-60gc    5.3 5.3
acA1300-60gm    5.3 5.3
acA1300-60gc    5.3 5.3
acA1300-60gmNIR 5.3 5.3
acA1300-75gm    4.8 4.8
acA1300-75gc    4.8 4.8
acA1600-60gm    4.5 4.5
acA1600-60gc    4.5 4.5
acA1920-25gm    2.2 2.2
acA1920-25gc    2.2 2.2
acA1920-40gm    5.86    5.86
acA1920-40gc    5.86    5.86
acA1920-48gm    4.8 4.8
acA1920-48gc    4.8 4.8
acA1920-50gm    5.86    5.86
acA1920-50gc    5.86    5.86
acA2000-50gm    5.5 5.5<
acA2000-50gc    5.5 5.5
acA2000-50gmNIR 5.5 5.5
acA2040-25gm    5.5 5.5
acA2040-25gc    5.5 5.5
acA2040-25gmNIR 5.5 5.5
acA2500-14gm    2.2 2.2
acA2500-14gc    2.2 2.2
acA2500-20gm    4.8 4.8
acA2500-20gc    4.8 4.8
acA3800-10gm    1.67    1.67
acA3800-10gc    1.67    1.67
acA4600-7gc 1.4 1.4





